Date,Open,High,Low,Close,Volume
2021-03-01,537.90,547.50,532.2,546.35,1633766
2021-03-02,550.00,556.25,544.0,552.05,3078825
2021-03-03,557.70,569.00,552.8,567.65,2932503
2021-03-04,562.00,569.80,560.65,562.50,1956062
2021-03-05,561.85,566.80,548.45,552.05,1563136
2021-03-08,553.90,561.50,549.5,556.85,2338848
2021-03-09,565.00,573.65,550.85,555.55,3205168
2021-03-10,559.00,559.05,549.0,553.25,1385971
2021-03-12,555.00,557.00,539.1,543.80,1672495
2021-03-15,547.45,547.45,527.65,533.25,1645296
2021-03-16,534.00,539.80,528.8,537.60,2281341
2021-03-17,537.90,547.85,534.9,537.75,3253910
2021-03-18,542.90,544.00,519.25,524.95,1767057
2021-03-19,524.95,539.75,517.65,536.35,2395956
2021-03-22,538.70,543.60,534.3,542.75,3421043
2021-03-23,547.00,557.95,542.25,554.30,2741088
2021-03-24,550.00,561.90,549.15,551.10,2732975
2021-03-25,551.30,558.55,541.1,546.40,3593649
2021-03-26,550.00,559.90,548.7,554.55,1863902
2021-03-30,560.20,560.95,550.75,552.95,1196786
2021-03-31,550.00,559.50,549.05,556.35,1487197
2021-04-01,559.00,561.90,552.25,558.30,1157038
2021-04-05,554.00,554.00,532.35,539.80,1833323
2021-04-06,542.00,547.55,534.8,541.00,1951613
2021-04-07,543.95,547.95,538.3,543.45,1383196
2021-04-08,545.95,554.70,543.6,546.45,1345132
2021-04-09,553.50,553.50,535.8,537.20,1244589
2021-04-12,531.60,532.40,508.1,515.65,2201004
2021-04-13,520.05,526.00,515.0,524.20,1136807
2021-04-15,529.00,529.00,517.0,522.20,1116960
2021-04-16,522.10,527.00,518.0,519.05,1988015
2021-04-19,513.00,519.95,507.5,517.95,1475111
2021-04-20,518.50,527.40,518.25,522.90,2128604
2021-04-22,520.00,522.20,516.55,518.90,1061097
2021-04-23,517.10,525.45,516.95,522.15,1340593
2021-04-26,522.00,525.55,516.45,518.05,1440846
2021-04-27,528.00,528.00,517.25,520.85,1604048
2021-04-28,526.00,537.60,521.0,536.15,1844620
2021-04-29,540.00,541.65,523.3,525.25,2260360
2021-04-30,523.95,532.25,516.0,519.55,1001011
2021-05-03,517.00,526.00,512.55,524.75,1365561
2021-05-04,525.00,531.00,521.6,526.10,1221920
2021-05-05,530.70,545.00,526.0,542.15,2649970
2021-05-06,545.45,551.80,537.85,543.45,1607023
2021-05-07,546.00,551.45,542.0,547.95,1369570
2021-05-10,549.00,555.00,544.05,551.55,1043521
2021-05-11,548.50,557.00,546.0,555.05,977801
2021-05-12,558.00,574.35,551.55,559.40,3212609
2021-05-14,560.20,571.00,557.85,565.30,2216049
2021-05-17,571.00,571.00,563.0,566.45,1222315
2021-05-18,571.50,577.40,568.15,573.45,1795905
2021-05-19,575.90,579.30,568.35,572.40,1450790
2021-05-20,569.50,583.20,567.5,572.15,4302709
2021-05-21,576.00,577.30,570.25,572.25,1083285
2021-05-24,589.65,599.90,571.2,573.20,9339511
2021-05-25,579.95,594.20,574.15,588.30,4705386
2021-05-26,591.95,596.95,588.3,590.85,2193455
2021-05-27,592.80,605.75,591.05,602.20,3921389
2021-05-28,607.00,613.45,596.85,611.25,2497007
2021-05-31,608.00,617.65,607.1,612.45,2167092
2021-06-01,616.00,624.40,610.5,612.40,2753791
2021-06-02,612.35,618.50,611.1,616.10,1091076
2021-06-03,617.00,617.80,609.75,614.20,1354140
2021-06-04,617.00,644.80,611.3,629.35,6477511
2021-06-07,635.00,642.00,626.5,633.35,2846455
2021-06-08,635.00,645.65,621.2,639.95,2613617
2021-06-09,642.00,647.90,628.2,632.60,2140346
2021-06-10,639.00,646.85,630.05,644.35,1866797
2021-06-11,647.60,656.00,643.3,646.05,2125935
2021-06-14,647.00,651.80,636.9,647.75,1330851
2021-06-15,651.00,659.00,646.95,652.75,1695689
2021-06-16,654.95,660.85,640.35,652.25,1441743
2021-06-17,645.00,674.50,644.95,662.70,5239072
2021-06-18,668.35,679.00,642.8,672.75,3412990
2021-06-21,657.00,680.40,655.6,671.15,2268647
2021-06-22,676.80,678.80,664.55,673.85,2262757
2021-06-23,683.80,684.00,660.0,663.70,1435280
2021-06-24,669.45,679.00,662.1,675.15,1495153
2021-06-25,678.00,680.45,659.0,664.20,1631192
2021-06-28,667.00,675.00,659.6,670.80,1265218
2021-06-29,671.60,677.60,664.0,667.55,988787
2021-06-30,668.00,673.95,660.2,661.65,879938
2021-07-01,664.00,666.85,660.6,663.95,880033
2021-07-02,663.00,666.00,660.2,662.45,1314519
2021-07-05,663.10,670.00,660.05,660.85,968320
2021-07-06,661.40,663.60,654.5,656.85,927820
2021-07-07,654.60,665.00,652.85,663.85,933315
2021-07-08,665.00,669.30,653.85,656.90,830310
2021-07-09,656.90,660.00,654.0,655.25,300258
2021-07-12,658.40,662.20,654.55,660.25,833537
2021-07-13,663.00,663.00,649.35,651.30,838252
2021-07-14,652.50,654.35,640.35,647.50,995306
2021-07-15,650.50,654.05,639.0,651.15,1244132
2021-07-16,643.00,674.20,633.25,667.40,10486985
2021-07-19,666.80,677.00,656.6,659.95,2325938
2021-07-20,659.50,664.95,649.3,653.65,1097891
2021-07-22,656.65,677.80,656.65,674.65,1689336
2021-07-23,680.00,688.40,663.8,683.45,3195921
2021-07-26,690.00,690.00,654.1,657.65,3710716
2021-07-27,657.95,662.00,642.55,644.50,1752498
2021-07-28,647.90,648.00,629.1,635.95,1844171
2021-07-29,640.00,643.00,633.4,638.00,984828
2021-07-30,640.45,648.00,637.0,640.75,1165344
2021-08-02,647.00,654.50,642.0,651.25,1045179
2021-08-03,652.00,667.00,650.25,652.60,1614724
2021-08-04,656.90,657.05,641.5,643.05,640150
2021-08-05,647.00,649.70,636.0,646.60,846984
2021-08-06,646.50,652.60,642.7,647.85,622651
2021-08-09,648.50,654.75,640.0,643.15,702209
2021-08-10,646.00,648.95,634.25,637.30,855463
2021-08-11,637.30,649.90,629.7,646.05,1765843
2021-08-12,651.40,659.00,645.35,655.95,1769937
2021-08-13,662.90,666.00,657.0,660.50,1678263
2021-08-16,660.00,660.80,654.15,656.65,750588
2021-08-17,656.65,666.00,650.0,660.20,842924
2021-08-18,658.15,728.80,658.15,724.45,17766746
2021-08-20,718.00,731.60,696.55,703.90,6318744
2021-08-23,715.50,715.50,695.75,701.85,2647125
2021-08-24,705.00,706.40,688.25,692.85,1621285
2021-08-25,693.50,695.45,678.25,683.65,1642981
2021-08-26,682.10,692.85,675.55,684.40,2759111
2021-08-27,685.00,704.90,681.35,700.45,2751709
2021-08-30,705.50,717.00,703.45,708.65,2026109
2021-08-31,710.00,725.70,707.1,715.15,2952559
2021-09-01,719.00,741.30,702.25,735.70,2617635
2021-09-02,745.00,760.90,739.45,748.05,6220305
2021-09-03,749.95,777.00,749.15,752.95,5197255
2021-09-06,757.00,759.30,746.2,749.30,1064115
2021-09-07,749.30,759.85,741.0,752.65,1383997
2021-09-08,752.85,759.75,740.1,748.10,1380649
2021-09-09,745.00,764.65,743.35,755.40,1267467
2021-09-13,757.00,759.15,749.1,754.60,889775
2021-09-14,754.60,771.80,752.5,758.90,2023070
2021-09-15,758.90,762.60,750.35,752.55,972664
2021-09-16,754.95,760.40,741.15,743.10,1847717
2021-09-17,744.00,768.60,740.7,741.75,3950356
2021-09-20,739.00,751.85,732.5,738.00,1632456
2021-09-21,739.95,750.65,728.5,746.85,1035741
2021-09-22,745.00,781.95,745.0,773.50,3854537
2021-09-23,784.00,843.50,775.35,829.15,15131123
2021-09-24,834.95,853.25,817.75,827.70,4833080
2021-09-27,830.10,834.40,806.1,821.65,2415356
2021-09-28,820.00,845.85,814.15,826.95,2897964
2021-09-29,819.00,835.30,817.05,827.15,1606839
2021-09-30,826.00,865.95,826.0,853.10,7981474
2021-10-01,855.00,869.45,840.1,865.15,3601848
2021-10-04,868.95,872.60,858.6,866.80,2235401
2021-10-05,865.00,886.65,863.0,882.35,3159781
2021-10-06,889.75,889.75,860.0,873.65,2535979
2021-10-07,878.90,915.95,878.0,902.70,3629362
2021-10-08,907.50,925.50,901.0,914.35,2406100
2021-10-11,910.00,918.60,893.0,895.80,1477775
2021-10-12,900.00,918.45,892.25,905.90,2944902
2021-10-13,913.00,919.80,897.55,901.00,2176597
2021-10-14,905.70,909.90,885.35,888.60,1085377
2021-10-18,903.30,903.30,880.0,883.50,1839400
2021-10-19,884.10,888.90,852.55,857.30,3110777
2021-10-20,859.00,863.00,836.35,839.05,3355223
2021-10-21,847.00,850.75,828.85,836.95,2284108
2021-10-22,840.90,852.30,826.05,833.90,1742596
2021-10-25,837.25,837.25,811.2,826.30,1361068
2021-10-26,831.20,844.95,826.75,834.45,1489536
2021-10-27,839.00,897.65,834.7,882.90,4033672
2021-10-28,920.00,944.75,876.8,892.55,16133086
2021-10-29,898.90,963.40,881.5,947.35,9686157
2021-11-01,964.95,991.80,943.25,973.60,6129953
2021-11-02,973.50,988.35,965.5,975.15,2146825
2021-11-03,980.00,994.20,958.85,962.10,3200769
2021-11-04,975.00,980.00,970.0,976.20,481222
2021-11-08,982.40,1012.00,967.6,999.05,3214798
2021-11-09,999.00,1019.95,993.15,1004.50,2937600
2021-11-10,1002.00,1005.30,967.0,970.50,1852255
2021-11-11,973.40,975.00,943.75,950.90,1898483
2021-11-12,954.00,966.00,950.0,958.60,1530182
2021-11-15,959.00,962.50,935.4,936.95,1693756
2021-11-16,936.50,949.80,930.6,935.20,1519795
2021-11-17,932.50,944.70,926.0,928.35,1289262
2021-11-18,933.00,951.00,900.3,920.05,3476119
2021-11-22,948.00,948.00,905.05,919.95,3460459
2021-11-23,916.45,937.70,910.0,930.90,1469479
2021-11-24,931.00,958.10,930.75,938.25,2847579
2021-11-25,944.00,946.95,928.7,942.35,1341040
